PATH	DURATION	TRANSCRIPT
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R024.wav	4.937500	cũng sẽ gặp khó khăn vì không có hình ảnh để đối chiếu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R025.wav	5.000000	tay cầm một cọc tiền đếm xoèn xoẹt đưa cho cha mẹ cô dâu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R026.wav	3.750000	trong niềm phấn khởi của bà con ngư dân
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R027.wav	3.593750	bắt đầu lọc cọc tiếng dùi đục của thợ mộc
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R028.wav	3.781250	việc thiết lập tốc độ nháy chuột
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R029.wav	3.156250	kết luận trên đã cho thấy
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R030.wav	3.156250	lặn ngụp ven hồ tây để kiếm sống
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R031.wav	3.968750	chúng tôi cứ len lén nhìn và chẳng thấy ngượng ngập
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R032.wav	3.875000	của người mẹ đang phải cầm hơi bằng lá cây
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R033.wav	3.937500	hun đúc nên tinh thần thi đấu quả cảm với đồng tháp
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R034.wav	3.156250	không dè lần lên coi thử
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R035.wav	4.125000	nên việc phá rừng đốt than ngày càng trở nên bức xúc
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R036.wav	4.218750	ở đời phàm cái gì đúng thời cơ mới đạt hiệu quả
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R037.wav	2.375000	còn có tác dụng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R038.wav	4.312500	dấu hiệu duy nhất để nhận ra kho lúa vĩnh thành
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R039.wav	3.250000	nhưng rồi cũng khổ sở đến dường nào
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R040.wav	4.437500	giá cả thuộc dạng vô cùng lên bổng xuống trầm tẹp nhẹp
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R041.wav	3.375000	nữ thần tự do với bàn tay cầm đuốc
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R042.wav	4.031250	những con sâu trúng thuốc rơi xuống giãy giụa
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R043.wav	2.906250	vừa đi vừa ca nghêu ngao
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R044.wav	3.375000	dưới đáy biển
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R045.wav	4.375000	những sợi bún được cuộn thành dây chão
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R046.wav	3.312500	khoanh tròn trên tấm lá chuối
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R047.wav	3.843750	rơi vào cảnh đìu hiu bởi du khách thưa thớt
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R048.wav	4.812500	sau đó những người này được trắc nghiệm khả năng ghi nhớ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R049.wav	3.031250	muốn sành điệu nguyên con
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R050.wav	4.468750	với những tràng pháo tay và tiếng trầm trồ tán thưởng không ngớt
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R051.wav	3.031250	hi vọng ở lần sinh nhật sau
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R052.wav	4.468750	theo luật nhân quả mà gần đây khoa học đã chứng minh được
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R053.wav	3.875000	ông lướt nhẹ ngón tay gầy guộc trên những con chữ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R054.wav	4.218750	phải dừng máy tàu và lặn xuống biển dùng dao mà cắt
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R055.wav	4.218750	và một nhóm người đang hí húi quay phim
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R056.wav	4.250000	hai bàn chân tí xíu kia mới đưa được các em về tới nhà
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R057.wav	2.062500	chảy nhão dưới nắng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R058.wav	4.625000	tôi xin phép ra ngoài vị giám thị trẻ xẵng giọng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R059.wav	4.000000	nhưng thực ra có thể không phải là như vậy
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R060.wav	3.750000	dác dáo dác tìm giúp việc sau tết
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R061.wav	4.625000	nên đặt bút ký hợp đồng cho thuê với giá bèo
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R062.wav	3.625000	tôi không sợ con đường dằng dặc từ thị thành
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R063.wav	3.375000	một người gánh nước dưới khe suối lên
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R064.wav	2.687500	sàng sảy thóc ngay ngõ gạch
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R065.wav	3.625000	ngay cả nền sản xuất hiện đại như mỹ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R066.wav	4.687500	về hành vi truyền bá văn hoá phẩm đồi truỵ không nguồn gốc
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R067.wav	4.687500	có thể đây là cái cạm bẫy phá hoại của bọn phản động
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R068.wav	5.156250	nếu tập trung tại trung tâm huấn luyện thể thao quốc gia i nhổn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R069.wav	4.187500	chiến khu rừng sác là một vùng đầm lầy nước mặn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R070.wav	3.187500	khiến chiếc thuyền tròng trành rồi lật nhào
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R071.wav	3.468750	có thể cho ít nước muối vào lòng bàn tay
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R072.wav	3.312500	tôi tình cờ phát hiện khả năng hút thìa muỗng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R073.wav	3.218750	khi cả hai vừa chiến thắng ngoạn mục
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R074.wav	3.875000	tôi đã trải qua giây phút nhiễm sét như thế
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R075.wav	3.531250	đã đạt gần đến chuẩn quốc tế
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R076.wav	4.375000	khi làm mới chủ yếu là tráng nhựa chứ không mở rộng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R077.wav	4.812500	tìm cách lật mặt kẻ cậy quyền giữa chốn công đường
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R078.wav	2.000000	dựng cứ dựng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R079.wav	2.312500	uy tín của một phóng viên
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R080.wav	3.375000	một lò gạch chông chênh trên sườn đồi
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R081.wav	3.000000	giữa quạnh hiu lá cỏ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R082.wav	2.843750	ben thấy hữu thật buồn cười
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R083.wav	4.187500	chúng ta làm cho mọi thứ rối tung lên
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R084.wav	2.562500	hết lần này đến lần khác
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R085.wav	4.125000	lê thị hồng ngọc chủ quán cơm niêu trên đường tú xương
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R086.wav	3.687500	vụ việc chỉ kết thúc sau cuộc đột kích
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R087.wav	3.468750	bằng mọt cú sút xa đẹp mắt
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R088.wav	3.750000	nói câu gì cũng phải có đầu có đuôi
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R089.wav	2.625000	chớ không được nói nhăng nhít
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R090.wav	5.031250	không được lấy que cời gõ gõ lên tấm lưng còng của các ngài
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R091.wav	4.312500	luôn săn đầu khách với những lời nũng nịu đến mềm lòng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R092.wav	4.468750	làm thổi tung cả một đội quân của kẻ thù
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R093.wav	3.718750	cảm thấy xúc động trước một điều gì đó
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R094.wav	4.562500	làm dãy nhà cho thuê của một hộ dân phải bỏ trống
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R095.wav	2.781250	tiêu huỷ tất cả các bầy đàn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R096.wav	3.812500	mà nhà cửa và công việc chẳng đâu vào đâu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R097.wav	3.562500	bà con trong xóm đến dự rình rang
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R098.wav	3.156250	chỉ chăm chắm vào những đối tượng cao cấp
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R099.wav	3.062500	lùng sục mua heo bệnh chở đi giết mổ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R100.wav	5.062500	chúng xẩy nhà ra bụi đời đi giật dọc đâm chém quậy phá
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R101.wav	1.812500	tuần rồi
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R102.wav	2.531250	huỳnh phương đông
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R103.wav	5.250000	hiện công an phường cốc lếu đang hoàn chỉnh hồ sơ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R104.wav	4.437500	mà lợn có khi chi phí nuôi không đủ huề vốn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R105.wav	4.468750	có khi anh ấy nói năng lỗ mãng và đánh em nữa
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R106.wav	4.250000	như thích đi chầm chậm trên những con đường quê
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R107.wav	4.562500	cho việc phát triển sự nghiệp của họ tại việt nam
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R108.wav	2.937500	thử địa không dư hoàng hạc lâu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R109.wav	5.093750	mệ nói muốn nấu ăn ngon phải gửi gắm tâm trạng mình vào trong đó
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R110.wav	3.812500	hiếm khi lặp lại những câu đã nói
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R111.wav	4.375000	tôi sẽ không cố gắng để bán chúng hay trưng bày chúng nữa
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R112.wav	3.156250	lời khuyên hữu ích dành cho bạn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R113.wav	4.843750	mà những mái hiên này còn có được sự riêng tư cần thiết
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R114.wav	4.250000	minh đến phòng tập thể hình của trường để nâng tạ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R115.wav	3.312500	tết năm ngoái cả nhà chín miệng ăn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R116.wav	2.718750	vạt áo sễ xuống
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R117.wav	4.062500	chứ không phải là từ các yêu cầu riêng lẻ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R118.wav	3.375000	công nghệ này sử dụng nguyên liệu đậu nành
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R119.wav	2.468750	khi tên lửa bay lên
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R120.wav	3.531250	hậu quả của những trận sên hút máu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R121.wav	5.187500	nằm ẩn mình trong vườn cây phía sau dãy phố ồn ào
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R122.wav	3.562500	phần nào mang tính điều hoà thị trường
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R123.wav	4.625000	tụi con còn dễ nhớ hơn phiên âm ra loằng ngoằng quá
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R124.wav	3.343750	mang tính cơ hội trong thị hiếu pháp
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R125.wav	4.562500	những tràng vỗ tay vang dội như thời hát nhóm
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R126.wav	3.875000	chỉ hoàn thành nhõn ba cây số khúc giữa
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R127.wav	4.968750	ban tài chính quản trị trung ương thuộc văn phòng trung ương đảng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R128.wav	4.406250	vì chỉ có mẹ là người dang rộng vòng tay
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R129.wav	5.062500	đường vào hang phải qua nhiều đoạn ngoằn ngoèo với các hồ nước sâu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R130.wav	3.437500	giúp hãng tăng thị phần
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R131.wav	3.187500	hừng hực đến tận nửa đêm
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R132.wav	5.250000	sau đó vẽ thêm các nét phác hoạ màu đen vào lúc khác
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R133.wav	2.875000	rất nhiều người dân
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R134.wav	5.031250	đều quay cuồng đơn giản là do bạn đã quá chén
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R135.wav	4.000000	và sắp xếp theo đúng bối cảnh phim
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R136.wav	4.562500	và đã đơn phương yêu từ một phía như vậy
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R137.wav	5.375000	mỗi tuần tôi lại có một chuyến rờ tua trà vinh sài gòn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R138.wav	3.125000	bên dưới một hàng chữ mảnh
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R139.wav	5.250000	trong tôi phải tự răn mình đừng bao giờ tự huyễn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R140.wav	3.875000	mà sẽ có cách ra đề phù hợp
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R141.wav	5.437500	hà anh tuấn một ngôi sao điểm hẹn mới toanh cũng thừa nhận mù nhạc
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R142.wav	5.000000	có thêm niềm vui mới là ra tắm giữa các hũm nước cạn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R143.wav	3.656250	mang hình dáng của một con khỉ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R144.wav	1.718750	doanh doanh
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R145.wav	3.937500	ngay cả trước khi nó được chính thức công bố
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R146.wav	2.500000	anh lý chạy xe ôm
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R147.wav	2.625000	việc đầu tiên tôi nghĩ đến
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R148.wav	5.250000	nấu nguội ngậm gớm cái món thịt gà cứ dai ngoách cả ra
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R149.wav	4.531250	ờ thằng đó cháu nội tư xạo
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R150.wav	2.625000	trong suốt thế kỷ qua
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R151.wav	2.937500	hay thâm tím chậm lành
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R152.wav	3.312500	thường cung cấp những manh mối
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R153.wav	5.500000	nhưng vẫn không sánh bằng nỗi đau của một con người bị chà đạp
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R154.wav	3.281250	cho sơn chảy thẳng lên giấy
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R155.wav	4.187500	ngày thường mắt trước mắt sau gồng gánh chạy phạt
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R156.wav	5.125000	cứ đặt con dao dính tiết trên cái dĩa
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R157.wav	4.312500	mà lòng cứ phân vân về lẽ điên tỉnh ở đời
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R158.wav	4.031250	trên đường đi thỉnh thoảng xe phải dừng lại
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R159.wav	4.468750	tía con hai rớt chuẩn bị châm lửa ngọn bùi nhùi
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R160.wav	3.531250	bởi đó là một trong những điều răn chung
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R161.wav	3.687500	người ta kịp kéo chị ta lại
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R162.wav	4.937500	có thể kích thích sự phát triển của các tế bào não
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R163.wav	1.843750	lịnh ra lịnh
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R164.wav	2.812500	có thể gây ra những vết đỏ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R165.wav	3.843750	việc xem xét phải do hội đồng các chuyên gia
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R166.wav	4.906250	chiến dịch cuối cùng trong nỗ lực chống nạn ăn cắp bản quyền
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R167.wav	5.500000	sông hậu mới bắt đầu chuyển màu đỏ quạch cố hữu của phù sa
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R168.wav	3.812500	đa số bán chui và quảng cáo như thần dược
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R169.wav	3.687500	nghệ sĩ hài mai thanh dung và minh vượng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R170.wav	5.250000	tốt hơn là ngay từ đầu bạn hãy đặt ra những câu hỏi
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R171.wav	3.875000	khi các nhà khoa học hàn quốc phát hiện
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R172.wav	4.312500	câu chuyện về anh sinh viên tình nguyện bị tai nạn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R173.wav	3.625000	đo sâu như thế thì nguy hiểm lắm
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R174.wav	4.437500	và dùng dây thắt lưng siết cổ anh nhiệm cho đến ngất xỉu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R175.wav	2.875000	bà con thường xuyên đau ốm
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R176.wav	5.687500	họ chào nhau cười nói hô hố rồi nhay lên xe máy phóng đi
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R177.wav	3.687500	của dì của mẹ và mấy em
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R178.wav	2.875000	ngủ ngáy
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R179.wav	2.687500	và ngăn ngừa các biến chứng
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R180.wav	4.187500	nhưng phần biểu dương lực lượng đã gây ấn tượng mạnh
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R181.wav	3.187500	chúng cam kết sẽ thả các con tin
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R182.wav	3.750000	là trách nhiệm kiểm tra của quản lý thị trường
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R183.wav	2.937500	để nâng cao chất lượng sản phẩm
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R184.wav	3.875000	khúc hát chiến sĩ biên phòng thành phố
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R185.wav	3.875000	với các pha dứt điểm gọn ghẽ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R186.wav	3.250000	nếu không biết được những điều này
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R187.wav	5.000000	các em thậm chí có thể trở thành những nhà lập trình vi tính
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R188.wav	3.531250	người ta cũng thấy dấu chân cà thọt của ông
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R189.wav	4.125000	ở đó có khoa khám chuyên về lé cho trẻ em
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R190.wav	4.250000	sáng sáng trong tiếng chim trao trảo râm ran đây đó
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R191.wav	1.312500	khéo tán
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R192.wav	3.687500	nhưng nó không còn là mái ấm của bạn nữa
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R193.wav	3.718750	cung thiếu cầu tăng lằng nhằng chuyên nghiệp
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R194.wav	3.656250	tổ chức hoạt động này nhằm có kế hoạch dài hạn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R195.wav	3.687500	túi chất đầy đồ vật trông kệnh lên
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R196.wav	2.781250	công chúng đã quá lờn mắt
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R197.wav	4.718750	nỗi thất vọng vỡ oà trong tâm hồn của cậu bé mù loà
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R198.wav	3.562500	giảnh chỉ cấy tối đa hai giảnh
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R199.wav	1.687500	được tìm thấy
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_R200.wav	3.625000	làm mất đi bản chất tự nhiên của cuộc sống
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T001.wav	3.812500	là chị đây sao em không bắt máy
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T002.wav	3.718750	có trả tiền cho bố không thì bảo
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T003.wav	3.562500	nhận được tin này gọi lại cho tôi gấp
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T004.wav	2.750000	anh đang nằm mơ à
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T005.wav	3.406250	cái tổng đài này hay phết nhỉ
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T006.wav	1.781250	chém gió vãi
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T007.wav	3.906250	trường đại học khoa học tự nhiên thành phố hồ chí minh
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T008.wav	3.187500	một đồng chí đã qua đời vì bệnh lậu
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T009.wav	3.218750	cho tôi nhắn đại tin nào cũng được
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T010.wav	2.375000	thành thật chia buồn
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T011.wav	3.281250	kết thúc chương trình tuần này đến đây là hết
/data/vivos/train/waves//VIVOSSPK01/VIVOSSPK01_T012.wav	4.375000	chỉ còn có bốn ngày cuối cùng cố lên anh nhé
